1624282253487,0.2068,4.8161,8.6384,0.1878,-0.1714,-0.0988
1624282253508,0.1853,5.0266,8.6456,0.2233,-0.1616,-0.0634
1624282253509,0.1446,5.2683,8.6025,0.2697,-0.1628,-0.0402
1624282253510,0.0967,5.1989,8.6145,0.2452,-0.1628,-0.0365
1624282253528,0.1709,5.0553,8.6097,0.2147,-0.1592,-0.0341
1624282253537,0.3025,5.0936,8.5283,0.1890,-0.1592,-0.0487
1624282253541,0.2427,5.1846,8.4805,0.1475,-0.1421,-0.0842
1624282253566,-0.0157,5.3138,8.6480,0.1182,-0.1262,-0.0842
1624282253570,-0.0540,5.1989,8.6575,0.1133,-0.1347,-0.0389
1624282253575,0.3815,5.0051,8.4996,0.1133,-0.1543,-0.0145
1624282253576,0.4365,5.0362,8.4111,0.1206,-0.1408,-0.0365
1624282253586,0.2738,5.2252,8.3680,0.1096,-0.1189,-0.0670
1624282253592,0.2571,5.3377,8.3752,0.0925,-0.1042,-0.0695
1624282253601,0.2236,5.2444,8.4374,0.0730,-0.0932,-0.0621
1624282253610,0.2188,5.1176,8.4518,0.0546,-0.0908,-0.0463
1624282253620,0.2714,4.9883,8.4805,0.0571,-0.0846,-0.0341
1624282253630,0.2403,5.0553,8.4972,0.0705,-0.0834,-0.0279
1624282253639,0.2092,5.1487,8.5738,0.0730,-0.0785,-0.0243
1624282253649,0.1901,5.1654,8.5953,0.0803,-0.0761,-0.0072
1624282253658,0.2307,5.1917,8.6312,0.0864,-0.0773,0.0124
1624282253668,0.3169,5.1247,8.5403,0.0889,-0.0761,0.0185
1624282253684,0.3743,5.1152,8.4757,0.0791,-0.0688,0.0050
1624282253687,0.3336,5.1989,8.4470,0.0620,-0.0541,-0.0011
1624282253697,0.3312,5.2731,8.4087,0.0400,-0.0455,-0.0060
1624282253706,0.3624,5.2516,8.4565,0.0217,-0.0297,-0.0096
1624282253716,0.3695,5.1750,8.4996,0.0143,-0.0126,-0.0133
1624282253725,0.3480,5.1678,8.4996,0.0107,-0.0040,-0.0206
1624282253737,0.2953,5.1606,8.5140,0.0119,0.0033,-0.0267
1624282253746,0.2355,5.1582,8.5020,0.0302,0.0057,-0.0182
1624282253754,0.2307,5.1917,8.5116,0.0510,0.0021,0.0038
1624282253764,0.2260,5.3162,8.5786,0.0595,-0.0016,0.0185
1624282253773,0.1829,5.2635,8.5140,0.0571,-0.0089,0.0172
1624282253786,0.2020,5.1989,8.4518,0.0607,-0.0162,0.0221
1624282253792,0.2571,5.1846,8.4183,0.0644,-0.0175,0.0319
1624282253802,0.2786,5.1654,8.4350,0.0717,-0.0101,0.0380
1624282253813,0.2523,5.2946,8.4637,0.0669,-0.0040,0.0392
1624282253821,0.2044,5.3521,8.5834,0.0632,0.0021,0.0368
1624282253831,0.2140,5.3162,8.5929,0.0754,0.0021,0.0429
1624282253841,0.2140,5.2683,8.5810,0.0852,0.0009,0.0453
1624282253853,0.3743,5.1989,8.5618,0.0901,0.0033,0.0417
